"No.","Time","Source","Destination","Protocol","Length","Info"
"49","11.812058200","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"50","11.861530400","10.101.1.28","157.240.5.12","TCP","54","50378  >  443 [ACK] Seq=33 Ack=29 Win=253 Len=0"
"51","14.138798900","10.101.1.46","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"52","14.138798900","10.101.1.46","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"53","14.138798900","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"54","14.540585500","10.101.1.46","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local"
"55","14.540585500","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","140","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local"
"56","14.652287400","10.101.1.35","224.0.0.251","MDNS","424","Standard query response 0x0000 TXT PTR MacBook Pro de Brian._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49152 MacBook-Pro-de-Brian.local AAAA, cache flush fe80::10a3:64cc:eff7:4fcc A, cache flush 10.101.1.35 NSEC, cache flush MacBook Pro de Brian._companion-link._tcp.local NSEC, cache flush MacBook-Pro-de-Brian.local"
"57","14.652287400","fe80::10a3:64cc:eff7:4fcc","ff02::fb","MDNS","444","Standard query response 0x0000 TXT PTR MacBook Pro de Brian._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49152 MacBook-Pro-de-Brian.local AAAA, cache flush fe80::10a3:64cc:eff7:4fcc A, cache flush 10.101.1.35 NSEC, cache flush MacBook Pro de Brian._companion-link._tcp.local NSEC, cache flush MacBook-Pro-de-Brian.local"
"58","14.723975900","142.250.184.10","10.101.1.28","UDP","200","443  >  56329 Len=158"
"59","14.756447000","10.101.1.28","142.250.184.10","UDP","74","56329  >  443 Len=32"
"60","15.154983800","10.101.1.46","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"61","15.154983800","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","189","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"62","16.489466700","10.101.1.28","155.133.246.52","TLSv1.2","113","Application Data"
"63","16.521776300","155.133.246.52","10.101.1.28","TCP","60","443  >  62565 [ACK] Seq=1 Ack=60 Win=7010 Len=0"
"64","16.690174500","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"65","18.605997300","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"66","18.636920900","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"67","18.641647500","157.240.5.12","10.101.1.28","TCP","60","443  >  57616 [ACK] Seq=29 Ack=65 Win=304 Len=0"
"68","18.711508600","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"69","18.760092300","10.101.1.28","157.240.5.11","TCP","54","58626  >  443 [ACK] Seq=59 Ack=51 Win=255 Len=0"
"70","18.791642500","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"71","18.839191100","10.101.1.28","157.240.5.12","TCP","54","57616  >  443 [ACK] Seq=65 Ack=57 Win=251 Len=0"
"72","19.633750200","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"73","19.665471500","157.240.5.11","10.101.1.28","TCP","60","443  >  55086 [ACK] Seq=2181 Ack=95 Win=587 Len=0"
"74","19.703747300","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"75","19.757068600","10.101.1.28","157.240.5.11","TCP","54","55086  >  443 [ACK] Seq=95 Ack=2206 Win=255 Len=0"
"76","20.721060700","10.101.1.28","142.251.150.119","UDP","71","60502  >  443 Len=29"
"77","20.759917500","142.251.150.119","10.101.1.28","UDP","68","443  >  60502 Len=26"
"78","21.707868800","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"79","22.635719200","10.101.1.28","31.13.83.51","TLSv1.2","123","Application Data"
"80","22.702013000","31.13.83.51","10.101.1.28","TLSv1.2","125","Application Data"
"81","22.742417300","10.101.1.28","31.13.83.51","TCP","54","55540  >  443 [ACK] Seq=70 Ack=72 Win=1019 Len=0"
"82","23.756296200","10.101.1.46","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"83","23.756296200","10.101.1.46","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"84","23.756296200","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"85","23.931706300","10.101.1.28","142.251.150.119","UDP","987","64571  >  443 Len=945"
"86","23.991940400","142.251.150.119","10.101.1.28","UDP","70","443  >  64571 Len=28"
"87","24.012653700","142.251.150.119","10.101.1.28","UDP","714","443  >  64571 Len=672"
"88","24.012653700","142.251.150.119","10.101.1.28","UDP","162","443  >  64571 Len=120"
"89","24.012906300","10.101.1.28","142.251.150.119","UDP","77","64571  >  443 Len=35"
"90","24.047908100","10.101.1.28","142.251.150.119","UDP","74","64571  >  443 Len=32"
"91","24.067451400","10.101.1.46","224.0.0.251","MDNS","155","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"92","24.067451400","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","175","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"93","24.094831500","10.101.1.28","142.251.150.119","UDP","72","64571  >  443 Len=30"
"94","24.102108700","142.251.150.119","10.101.1.28","UDP","66","443  >  64571 Len=24"
"95","24.122300700","10.101.1.29","10.101.1.28","TCP","66","62299  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"96","24.122629700","10.101.1.28","10.101.1.29","TCP","66","7680  >  62299 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"97","24.132109500","142.251.150.119","10.101.1.28","UDP","67","443  >  64571 Len=25"
"98","24.144576000","10.101.1.29","10.101.1.28","TCP","54","62299  >  7680 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"99","24.144576000","10.101.1.29","10.101.1.28","MS-DO","129","Handshake Message (Request)"
"100","24.145321800","10.101.1.28","10.101.1.29","TCP","54","7680  >  62299 [FIN, ACK] Seq=1 Ack=76 Win=65280 Len=0"
